tag,family,category,OOF_safe,val_SIMSCORE,val_WAPE,val_bias,val_M_WAPE,test_SIMSCORE,test_WAPE,test_bias,test_M_WAPE,val_rows,test_rows,gap_SIMSCORE,gap_bias_abs
v8_recent,V8,individual_base,True,0.4952796853025744,0.3960395407075753,-9.924014459499904,0.0992401445949991,0.5308748423508023,0.4069096079492335,-11.95123730370984,0.1284180957660391,31452,20968,0.0355951570482278,2.027222844209936
v7sym_tweedie,V7-family,individual_base,True,0.452963626438055,0.4218512169192819,-0.1593511368660624,0.0606313076688856,0.5349572741673144,0.4519634590832507,0.9598770876337146,0.1563888592917903,31452,20968,0.0819936477292594,0.8005259507676521
v77_long,V7.7,individual_base,True,0.452963626438055,0.4218512169192819,-0.1593511368660624,0.0606313076688856,0.5349572741673144,0.4519634590832507,0.9598770876337146,0.1563888592917903,31452,20968,0.0819936477292594,0.8005259507676521
v71,V7-family,individual_base,True,0.5244362086166179,0.4236798086391227,-10.075639997749509,0.1007563999774951,0.5352998841555179,0.4117095340993615,-12.103333166888298,0.1261473684434297,31452,20968,0.0108636755388999,2.0276931691387894
v71_channels,V7.1,individual_base,True,0.5269961077182567,0.4252801386467256,-10.171596907153107,0.101715969071531,0.5367222119797072,0.4121778074903547,-12.22850562547333,0.1268037527239716,31452,20968,0.0097261042614504,2.056908718320223
v7_rec95,V7-family,individual_base,True,0.517572351038802,0.4225733656255224,-9.499898541327948,0.0949989854132794,0.5371275652993427,0.4192615418423623,-11.352298415378227,0.1222090627601784,31452,20968,0.0195552142605407,1.8523998740502812
v12_multiseed,V12,individual_base,True,0.4117,0.3349,-8.068,0.0728,0.5444,0.4173,-9.96,0.1547,31452,20968,0.1326999999999999,1.8920000000000012
v12_external,V12,individual_base,True,0.4009,0.334,-7.171,0.062,0.5479,0.415,-10.49,0.161,31452,20968,0.147,3.319
v11_recent_only,V11,individual_base,True,0.4208070572083069,0.3394453738915634,-8.136168331674366,0.0813616833167435,0.5510902550856855,0.4238850583970935,-10.960088082898723,0.1448095125481969,31452,20968,0.1302831978773785,2.8239197512243575
v7_v11_recent_only,V7-family,individual_base,True,0.4208070572083069,0.3394453738915634,-8.136168331674366,0.0813616833167435,0.5510902550856855,0.4238850583970935,-10.960088082898723,0.1448095125481969,31452,20968,0.1302831978773785,2.8239197512243575
v6,V6,individual_base,True,0.5142300776077701,0.4399511546313283,7.157531325404018,0.0769825326988433,0.5530609804562561,0.4493730350871274,8.881921296149555,0.1185566777767617,31452,20968,0.038830902848486,1.7243899707455368
v4,V4,individual_base,True,0.4802949010010104,0.4391916477191222,-1.7969350645264326,0.0642371559185122,0.5553939152425372,0.4719906917978328,-4.225499357909647,0.1245514533103124,31452,20968,0.0750990142415267,2.4285642933832143
v77_quantile60,V7.7,individual_base,True,0.5268590505952269,0.4438616670095005,7.998806601947186,0.0860067011519808,0.5583058666451679,0.451662257990161,8.565218289565335,0.1276350344143604,31452,20968,0.031446816049941,0.5664116876181486
