weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"[0.725, 0.05, 0.025, 0.2]",0.725,0.05,0.025,0.2,0.44589,-3.5282,-0.323
"[0.9, 0.05, 0.05, 0.0]",0.9,0.05,0.05,0.0,0.41164,-1.4086,-0.354
"[0.875, 0.05, 0.05, 0.025]",0.875,0.05,0.05,0.025,0.41397,-1.6943000000000001,-0.378
"[0.85, 0.05, 0.05, 0.05]",0.85,0.05,0.05,0.05,0.4168,-1.9794999999999998,-0.401
"[0.825, 0.05, 0.05, 0.075]",0.825,0.05,0.05,0.075,0.42028,-2.2644,-0.424
"[0.8, 0.05, 0.05, 0.1]",0.8,0.05,0.05,0.1,0.42436999999999997,-2.5496000000000003,-0.447
"[0.775, 0.05, 0.05, 0.125]",0.775,0.05,0.05,0.125,0.42935,-2.8349999999999995,-0.47
"[0.75, 0.05, 0.05, 0.15]",0.75,0.05,0.05,0.15,0.43482,-3.1199000000000003,-0.493
"[0.7, 0.05, 0.05, 0.2]",0.7,0.05,0.05,0.2,0.44706999999999997,-3.6902999999999997,-0.539
"[0.875, 0.05, 0.075, 0.0]",0.875,0.05,0.075,0.0,0.41243,-1.5711999999999997,-0.571
"[0.85, 0.05, 0.075, 0.025]",0.85,0.05,0.075,0.025,0.41484,-1.8563999999999998,-0.594
"[0.825, 0.05, 0.075, 0.05]",0.825,0.05,0.075,0.05,0.41769,-2.1416,-0.617
"[0.8, 0.05, 0.075, 0.075]",0.8,0.05,0.075,0.075,0.42118999999999995,-2.4265,-0.64
"[0.775, 0.05, 0.075, 0.1]",0.775,0.05,0.075,0.1,0.42539000000000005,-2.7119,-0.663
"[0.75, 0.05, 0.075, 0.125]",0.75,0.05,0.075,0.125,0.43045999999999995,-2.9971,-0.686
"[0.725, 0.05, 0.075, 0.15]",0.725,0.05,0.075,0.15,0.43598000000000003,-3.2819999999999996,-0.709
"[0.675, 0.05, 0.075, 0.2]",0.675,0.05,0.075,0.2,0.44830000000000003,-3.8529000000000004,-0.756
"[0.85, 0.05, 0.1, 0.0]",0.85,0.05,0.1,0.0,0.41328,-1.7332999999999998,-0.787
"[0.825, 0.05, 0.1, 0.025]",0.825,0.05,0.1,0.025,0.41568000000000005,-2.0185,-0.81
"[0.8, 0.05, 0.1, 0.05]",0.8,0.05,0.1,0.05,0.41861000000000004,-2.3037,-0.833
"[0.775, 0.05, 0.1, 0.075]",0.775,0.05,0.1,0.075,0.42213,-2.5888,-0.856
"[0.75, 0.05, 0.1, 0.1]",0.75,0.05,0.1,0.1,0.4265,-2.8740000000000006,-0.879
"[0.725, 0.05, 0.1, 0.125]",0.725,0.05,0.1,0.125,0.43162,-3.1592,-0.902
"[0.7, 0.05, 0.1, 0.15]",0.7,0.05,0.1,0.15,0.43714,-3.4446,-0.926
"[0.6499999999999999, 0.05, 0.1, 0.2]",0.6499999999999999,0.05,0.1,0.2,0.44948,-4.015,-0.972
"[0.825, 0.05, 0.125, 0.0]",0.825,0.05,0.125,0.0,0.4142,-1.8954,-1.003
"[0.8, 0.05, 0.125, 0.025]",0.8,0.05,0.125,0.025,0.41655,-2.1806,-1.026
"[0.775, 0.05, 0.125, 0.05]",0.775,0.05,0.125,0.05,0.4195,-2.466,-1.049
"[0.75, 0.05, 0.125, 0.075]",0.75,0.05,0.125,0.075,0.42312,-2.7509,-1.072
"[0.725, 0.05, 0.125, 0.1]",0.725,0.05,0.125,0.1,0.42760999999999993,-3.0361,-1.095
"[0.7, 0.05, 0.125, 0.125]",0.7,0.05,0.125,0.125,0.43273,-3.3217999999999996,-1.119
"[0.675, 0.05, 0.125, 0.15]",0.675,0.05,0.125,0.15,0.43827000000000005,-3.6067,-1.142
"[0.625, 0.05, 0.125, 0.2]",0.625,0.05,0.125,0.2,0.45069000000000004,-4.1771,-1.188
"[0.8, 0.05, 0.15, 0.0]",0.8,0.05,0.15,0.0,0.41507000000000005,-2.0575,-1.219
"[0.775, 0.05, 0.15, 0.025]",0.775,0.05,0.15,0.025,0.41742,-2.3429,-1.242
"[0.75, 0.05, 0.15, 0.05]",0.75,0.05,0.15,0.05,0.42044000000000004,-2.6281,-1.265
"[0.725, 0.05, 0.15, 0.075]",0.725,0.05,0.15,0.075,0.42406,-2.9135,-1.289
"[0.7, 0.05, 0.15, 0.1]",0.7,0.05,0.15,0.1,0.42875,-3.1987,-1.312
"[0.675, 0.05, 0.15, 0.125]",0.675,0.05,0.15,0.125,0.43389,-3.4838999999999998,-1.335
"[0.65, 0.05, 0.15, 0.15]",0.65,0.05,0.15,0.15,0.43948,-3.7688000000000006,-1.358
"[0.6, 0.05, 0.15, 0.2]",0.6,0.05,0.15,0.2,0.45192,-4.3392,-1.404
"[0.75, 0.05, 0.2, 0.0]",0.75,0.05,0.2,0.0,0.41684,-2.3824,-1.652
"[0.725, 0.05, 0.2, 0.025]",0.725,0.05,0.2,0.025,0.41926,-2.6676,-1.675
"[0.7, 0.05, 0.2, 0.05]",0.7,0.05,0.2,0.05,0.42235,-2.9528,-1.698
"[0.675, 0.05, 0.2, 0.075]",0.675,0.05,0.2,0.075,0.42635999999999996,-3.2377000000000002,-1.721
"[0.6499999999999999, 0.05, 0.2, 0.1]",0.6499999999999999,0.05,0.2,0.1,0.43112,-3.5229,-1.744
"[0.625, 0.05, 0.2, 0.125]",0.625,0.05,0.2,0.125,0.43628,-3.8080999999999996,-1.767
"[0.6, 0.05, 0.2, 0.15]",0.6,0.05,0.2,0.15,0.44184999999999997,-4.093,-1.79
"[0.925, 0.075, 0.0, 0.0]",0.925,0.075,0.0,0.0,0.41034,-1.2107999999999999,-0.053
"[0.9, 0.075, 0.0, 0.025]",0.9,0.075,0.0,0.025,0.41269999999999996,-1.4964,-0.077
"[0.875, 0.075, 0.0, 0.05]",0.875,0.075,0.0,0.05,0.41553,-1.7815999999999999,-0.1
"[0.85, 0.075, 0.0, 0.075]",0.85,0.075,0.0,0.075,0.41893,-2.0668,-0.123
"[0.825, 0.075, 0.0, 0.1]",0.825,0.075,0.0,0.1,0.42296999999999996,-2.3517,-0.146
"[0.8, 0.075, 0.0, 0.125]",0.8,0.075,0.0,0.125,0.42769,-2.6369,-0.169
"[0.775, 0.075, 0.0, 0.15]",0.775,0.075,0.0,0.15,0.43317,-2.9221000000000004,-0.192
"[0.725, 0.075, 0.0, 0.2]",0.725,0.075,0.0,0.2,0.44538999999999995,-3.4924,-0.238
"[0.9, 0.075, 0.025, 0.0]",0.9,0.075,0.025,0.0,0.41115999999999997,-1.3736,-0.27
"[0.875, 0.075, 0.025, 0.025]",0.875,0.075,0.025,0.025,0.41352,-1.6585,-0.293
"[0.85, 0.075, 0.025, 0.05]",0.85,0.075,0.025,0.05,0.41637,-1.9436999999999998,-0.316
"[0.825, 0.075, 0.025, 0.075]",0.825,0.075,0.025,0.075,0.41981999999999997,-2.2289000000000003,-0.339
"[0.8, 0.075, 0.025, 0.1]",0.8,0.075,0.025,0.1,0.42388000000000003,-2.5138000000000003,-0.362
"[0.775, 0.075, 0.025, 0.125]",0.775,0.075,0.025,0.125,0.4288,-2.799,-0.385
"[0.75, 0.075, 0.025, 0.15]",0.75,0.075,0.025,0.15,0.4343,-3.0842000000000005,-0.408
"[0.7, 0.075, 0.025, 0.2]",0.7,0.075,0.025,0.2,0.44655,-3.6544999999999996,-0.454
"[0.875, 0.075, 0.05, 0.0]",0.875,0.075,0.05,0.0,0.41198,-1.5356999999999998,-0.486
"[0.85, 0.075, 0.05, 0.025]",0.85,0.075,0.05,0.025,0.41430999999999996,-1.8206,-0.509
"[0.825, 0.075, 0.05, 0.05]",0.825,0.075,0.05,0.05,0.41720999999999997,-2.1058,-0.532
"[0.8, 0.075, 0.05, 0.075]",0.8,0.075,0.05,0.075,0.42071000000000003,-2.391,-0.555
"[0.775, 0.075, 0.05, 0.1]",0.775,0.075,0.05,0.1,0.42484,-2.6759,-0.578
"[0.75, 0.075, 0.05, 0.125]",0.75,0.075,0.05,0.125,0.42994,-2.9611,-0.601
"[0.725, 0.075, 0.05, 0.15]",0.725,0.075,0.05,0.15,0.43546,-3.2464999999999997,-0.624
"[0.675, 0.075, 0.05, 0.2]",0.675,0.075,0.05,0.2,0.44773,-3.8171000000000004,-0.671
