weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,w_v12ext_g93,w_v14_nn,OOF_recency,OOF_bias_recency_pct
"[0.775, 0.0, 0.0, 0.1, 0.1, 0.025]",0.775,0.0,0.0,0.1,0.1,0.025,0.42376,-2.4294999999999995
"[0.75, 0.0, 0.0, 0.1, 0.1, 0.05]",0.75,0.0,0.0,0.1,0.1,0.05,0.42397,-2.4121
"[0.725, 0.0, 0.0, 0.1, 0.1, 0.075]",0.725,0.0,0.0,0.1,0.1,0.075,0.4243,-2.3942
"[0.7, 0.0, 0.0, 0.1, 0.1, 0.1]",0.7,0.0,0.0,0.1,0.1,0.1,0.42477,-2.3768000000000002
"[0.65, 0.0, 0.0, 0.1, 0.1, 0.15]",0.65,0.0,0.0,0.1,0.1,0.15,0.42605000000000004,-2.3415
"[0.75, 0.0, 0.0, 0.1, 0.15, 0.0]",0.75,0.0,0.0,0.1,0.15,0.0,0.42495,-2.6845
"[0.725, 0.0, 0.0, 0.1, 0.15, 0.025]",0.725,0.0,0.0,0.1,0.15,0.025,0.42495,-2.6671
"[0.7, 0.0, 0.0, 0.1, 0.15, 0.05]",0.7,0.0,0.0,0.1,0.15,0.05,0.42516,-2.6496999999999997
"[0.675, 0.0, 0.0, 0.1, 0.15, 0.075]",0.675,0.0,0.0,0.1,0.15,0.075,0.42549000000000003,-2.6318
"[0.65, 0.0, 0.0, 0.1, 0.15, 0.1]",0.65,0.0,0.0,0.1,0.15,0.1,0.42594,-2.6144000000000003
"[0.6, 0.0, 0.0, 0.1, 0.15, 0.15]",0.6,0.0,0.0,0.1,0.15,0.15,0.42725,-2.5791000000000004
"[0.85, 0.0, 0.0, 0.15, 0.0, 0.0]",0.85,0.0,0.0,0.15,0.0,0.0,0.43245,-2.5426
"[0.825, 0.0, 0.0, 0.15, 0.0, 0.025]",0.825,0.0,0.0,0.15,0.0,0.025,0.43158,-2.5247
"[0.8, 0.0, 0.0, 0.15, 0.0, 0.05]",0.8,0.0,0.0,0.15,0.0,0.05,0.43128,-2.5073000000000003
"[0.775, 0.0, 0.0, 0.15, 0.0, 0.075]",0.775,0.0,0.0,0.15,0.0,0.075,0.4316,-2.4899
"[0.75, 0.0, 0.0, 0.15, 0.0, 0.1]",0.75,0.0,0.0,0.15,0.0,0.1,0.43201,-2.4720000000000004
"[0.7, 0.0, 0.0, 0.15, 0.0, 0.15]",0.7,0.0,0.0,0.15,0.0,0.15,0.43333,-2.4367
"[0.825, 0.0, 0.0, 0.15, 0.025, 0.0]",0.825,0.0,0.0,0.15,0.025,0.0,0.43246,-2.6614
"[0.8, 0.0, 0.0, 0.15, 0.025, 0.025]",0.8,0.0,0.0,0.15,0.025,0.025,0.43179,-2.6435
"[0.775, 0.0, 0.0, 0.15, 0.025, 0.05]",0.775,0.0,0.0,0.15,0.025,0.05,0.43179999999999996,-2.6260999999999997
"[0.75, 0.0, 0.0, 0.15, 0.025, 0.075]",0.75,0.0,0.0,0.15,0.025,0.075,0.43212,-2.6087000000000002
"[0.725, 0.0, 0.0, 0.15, 0.025, 0.1]",0.725,0.0,0.0,0.15,0.025,0.1,0.43258,-2.5907999999999998
"[0.675, 0.0, 0.0, 0.15, 0.025, 0.15]",0.675,0.0,0.0,0.15,0.025,0.15,0.4339,-2.5555
"[0.8, 0.0, 0.0, 0.15, 0.05, 0.0]",0.8,0.0,0.0,0.15,0.05,0.0,0.43274999999999997,-2.7802000000000002
"[0.775, 0.0, 0.0, 0.15, 0.05, 0.025]",0.775,0.0,0.0,0.15,0.05,0.025,0.4325,-2.7623
"[0.75, 0.0, 0.0, 0.15, 0.05, 0.05]",0.75,0.0,0.0,0.15,0.05,0.05,0.43243,-2.7449
