name,OOF_mean,OOF_recency,OOF_bias_recency_pct,OOF_folds,OOF_bias_folds,fold_bias_signs,last_two_agree,all_agree,bias_stability_score,in_sample,gap
v10+v11_g93_tau0.52_ch08,0.3906,0.4154,-1.534,"[0.313, 0.3834, 0.4755]","[-1.86, -0.213, -2.196]","[-1, -1, -1]",True,True,0.4677,0.3568,0.0338
v10+v11_g93_tau0.55_ch08,0.3908,0.4155,-1.542,"[0.3136, 0.3835, 0.4754]","[-1.924, -0.231, -2.176]","[-1, -1, -1]",True,True,0.5027,0.3568,0.034
v10+v12_external_tau0.52_chABC05_brand03,0.3953,0.4176,-2.402,"[0.3295, 0.3826, 0.4738]","[-3.886, -1.045, -2.623]","[-1, -1, -1]",True,True,4.0609,0.3614,0.0339
v10+v12_external_tau0.5_chABC05_brand03,0.3953,0.4176,-2.41,"[0.3292, 0.3826, 0.474]","[-3.833, -1.055, -2.653]","[-1, -1, -1]",True,True,4.0438,0.3614,0.0339
v10+v12_external_tau0.55_chABC05_brand03,0.3955,0.4176,-2.395,"[0.3304, 0.3825, 0.4735]","[-3.992, -1.038, -2.571]","[-1, -1, -1]",True,True,4.1437,0.3613,0.0342
v10+v11ro+v12ext_tau0.55_chABC05_brand03,0.3958,0.4178,-2.422,"[0.3313, 0.3825, 0.4736]","[-4.075, -1.038, -2.591]","[-1, -1, -1]",True,True,4.2298,0.3613,0.0345
v10+v11ro+v12ext_tau0.5_chABC05_brand03,0.3955,0.4178,-2.427,"[0.3298, 0.3826, 0.4741]","[-3.89, -1.055, -2.665]","[-1, -1, -1]",True,True,4.104,0.3614,0.0341
v10+v11ro+v12ext_tau0.52_chABC05_brand03,0.3956,0.4178,-2.423,"[0.3302, 0.3826, 0.4739]","[-3.954, -1.045, -2.638]","[-1, -1, -1]",True,True,4.1319,0.3614,0.0342
v10+all_v12_tau0.55_chABC05_brand03,0.3959,0.418,-2.531,"[0.3305, 0.3833, 0.4739]","[-4.025, -1.239, -2.708]","[-1, -1, -1]",True,True,4.987,0.3613,0.0346
v10+all_v12_tau0.52_chABC05_brand03,0.3957,0.4181,-2.534,"[0.3297, 0.3832, 0.4743]","[-3.915, -1.226, -2.766]","[-1, -1, -1]",True,True,4.7998,0.3613,0.0344
v10+all_v12_tau0.5_chABC05_brand03,0.3957,0.4181,-2.54,"[0.3293, 0.3832, 0.4745]","[-3.86, -1.224, -2.801]","[-1, -1, -1]",True,True,4.7246,0.3614,0.0343
v10+v11g93+v12ext_tau0.55_chABC05_brand03,0.3963,0.4182,-2.478,"[0.3322, 0.3826, 0.474]","[-4.113, -1.013, -2.702]","[-1, -1, -1]",True,True,4.1665,0.3612,0.0351
v10+v11g93+v12ext_tau0.52_chABC05_brand03,0.3961,0.4182,-2.484,"[0.3313, 0.3827, 0.4743]","[-4.004, -1.019, -2.754]","[-1, -1, -1]",True,True,4.0801,0.3613,0.0348
v10+v11g93+v12ext_tau0.5_chABC05_brand03,0.396,0.4182,-2.49,"[0.3309, 0.3827, 0.4745]","[-3.947, -1.027, -2.786]","[-1, -1, -1]",True,True,4.0536,0.3613,0.0347
v10+all_v11+v12ext_tau0.5_chABC05_brand03,0.3971,0.4192,-2.661,"[0.3322, 0.3838, 0.4753]","[-4.025, -1.135, -3.031]","[-1, -1, -1]",True,True,4.5684,0.3613,0.0358
v10+all_v11+v12ext_tau0.52_chABC05_brand03,0.3972,0.4193,-2.663,"[0.3327, 0.3837, 0.4752]","[-4.085, -1.123, -3.018]","[-1, -1, -1]",True,True,4.5875,0.3613,0.0359
v10+all_v11+v12ext_tau0.55_chABC05_brand03,0.3974,0.4193,-2.666,"[0.3336, 0.3837, 0.475]","[-4.187, -1.115, -2.988]","[-1, -1, -1]",True,True,4.6685,0.3613,0.0361
v10+all_optional_tau0.52_chABC05_brand03,0.3976,0.4196,-2.747,"[0.333, 0.3843, 0.4755]","[-4.137, -1.251, -3.089]","[-1, -1, -1]",True,True,5.1754,0.3612,0.0364
v10+all_optional_tau0.5_chABC05_brand03,0.3975,0.4196,-2.745,"[0.3325, 0.3843, 0.4756]","[-4.077, -1.255, -3.107]","[-1, -1, -1]",True,True,5.1166,0.3613,0.0362
v10+all_optional_tau0.55_chABC05_brand03,0.3978,0.4197,-2.752,"[0.3339, 0.3842, 0.4753]","[-4.24, -1.259, -3.052]","[-1, -1, -1]",True,True,5.3382,0.3612,0.0366
v10+v12_multiseed_tau0.55_chABC05_brand03,0.3975,0.4211,-2.939,"[0.3264, 0.3862, 0.48]","[-3.341, -1.679, -3.535]","[-1, -1, -1]",True,True,5.9353,0.3621,0.0354
v10+v12_multiseed_tau0.52_chABC05_brand03,0.3975,0.4212,-2.94,"[0.326, 0.3862, 0.4802]","[-3.291, -1.67, -3.562]","[-1, -1, -1]",True,True,5.9485,0.3622,0.0353
v10+v12_multiseed_tau0.5_chABC05_brand03,0.3975,0.4212,-2.945,"[0.3259, 0.3862, 0.4803]","[-3.278, -1.672, -3.575]","[-1, -1, -1]",True,True,5.9774,0.3622,0.0353
v10+v12_intermittent_tau0.5_chABC05_brand03,0.3982,0.4221,-2.76,"[0.325, 0.3883, 0.4813]","[-3.063, -1.83, -3.197]","[-1, -1, -1]",True,True,5.8505,0.3633,0.0349
v10+v12_intermittent_tau0.52_chABC05_brand03,0.3982,0.4221,-2.752,"[0.325, 0.3883, 0.4812]","[-3.071, -1.833, -3.175]","[-1, -1, -1]",True,True,5.8198,0.3633,0.0349
v10_baseline_tau0.52_chABC05_brand03,0.3982,0.4222,-2.765,"[0.325, 0.3883, 0.4814]","[-3.071, -1.833, -3.201]","[-1, -1, -1]",True,True,5.8674,0.3632,0.035
v10_baseline_tau0.5_chABC05_brand03,0.3983,0.4222,-2.772,"[0.325, 0.3883, 0.4815]","[-3.063, -1.83, -3.22]","[-1, -1, -1]",True,True,5.8926,0.3633,0.035
v10+v11_chronos_tau0.5_chABC05_brand03,0.3983,0.4222,-2.772,"[0.325, 0.3883, 0.4815]","[-3.063, -1.83, -3.22]","[-1, -1, -1]",True,True,5.8926,0.3634,0.0349
v10+v12_intermittent_tau0.55_chABC05_brand03,0.3983,0.4222,-2.744,"[0.3254, 0.3884, 0.4811]","[-3.113, -1.838, -3.141]","[-1, -1, -1]",True,True,5.7732,0.3633,0.035
v10+v11_chronos_tau0.52_chABC05_brand03,0.3982,0.4222,-2.765,"[0.325, 0.3883, 0.4814]","[-3.071, -1.833, -3.201]","[-1, -1, -1]",True,True,5.8674,0.3634,0.0348
v10_baseline_tau0.55_chABC05_brand03,0.3984,0.4223,-2.759,"[0.3254, 0.3884, 0.4813]","[-3.113, -1.838, -3.17]","[-1, -1, -1]",True,True,5.8265,0.3633,0.0351
v10+v11_g90_tau0.52_chABC05_brand03,0.3992,0.4223,-2.951,"[0.3298, 0.3874, 0.4803]","[-3.657, -1.558, -3.505]","[-1, -1, -1]",True,True,5.6976,0.3626,0.0366
v10+v11_g90_tau0.5_chABC05_brand03,0.3991,0.4223,-2.951,"[0.3295, 0.3873, 0.4804]","[-3.632, -1.553, -3.517]","[-1, -1, -1]",True,True,5.6405,0.3626,0.0365
v10+v11_chronos_tau0.55_chABC05_brand03,0.3984,0.4223,-2.759,"[0.3254, 0.3884, 0.4813]","[-3.113, -1.838, -3.17]","[-1, -1, -1]",True,True,5.8265,0.3634,0.035
v10+v11_recent_only_tau0.52_chABC05_brand03,0.3988,0.4224,-2.94,"[0.3281, 0.3867, 0.4816]","[-3.464, -1.767, -3.434]","[-1, -1, -1]",True,True,6.1209,0.3628,0.036
v10+v11_g90_tau0.55_chABC05_brand03,0.3993,0.4224,-2.952,"[0.3302, 0.3875, 0.4802]","[-3.705, -1.566, -3.483]","[-1, -1, -1]",True,True,5.802,0.3626,0.0367
v10+v11_recent_only_tau0.5_chABC05_brand03,0.3987,0.4224,-2.939,"[0.3277, 0.3868, 0.4817]","[-3.42, -1.764, -3.451]","[-1, -1, -1]",True,True,6.0876,0.3628,0.0359
v10+v11_recent_only_tau0.55_chABC05_brand03,0.399,0.4225,-2.945,"[0.329, 0.3867, 0.4814]","[-3.562, -1.77, -3.403]","[-1, -1, -1]",True,True,6.3047,0.3628,0.0362
v10+v11_g93_tau0.5_chABC05_brand03,0.3991,0.4227,-2.858,"[0.3282, 0.3871, 0.4819]","[-3.453, -1.532, -3.416]","[-1, -1, -1]",True,True,5.29,0.363,0.0361
v10+v11_g93_tau0.52_chABC05_brand03,0.3991,0.4227,-2.86,"[0.3283, 0.3871, 0.4818]","[-3.475, -1.542, -3.405]","[-1, -1, -1]",True,True,5.3585,0.363,0.0361
v10+v11_g93_tau0.55_chABC05_brand03,0.3993,0.4228,-2.865,"[0.3289, 0.3872, 0.4817]","[-3.53, -1.556, -3.385]","[-1, -1, -1]",True,True,5.4927,0.363,0.0363
v10+all_v11_tau0.52_chABC05_brand03,0.3999,0.4229,-3.07,"[0.332, 0.3869, 0.4809]","[-3.916, -1.51, -3.668]","[-1, -1, -1]",True,True,5.9132,0.3624,0.0375
v10+all_v11_tau0.5_chABC05_brand03,0.3998,0.4229,-3.059,"[0.3315, 0.387, 0.481]","[-3.863, -1.502, -3.672]","[-1, -1, -1]",True,True,5.8022,0.3624,0.0374
v10+all_v11_tau0.55_chABC05_brand03,0.4002,0.423,-3.088,"[0.3328, 0.3868, 0.4809]","[-4.005, -1.518, -3.664]","[-1, -1, -1]",True,True,6.0796,0.3624,0.0378
